species,common_name,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Mitrephanes phaeocercus,Tufted Flycatcher,8.59,1776,wǐt,wǐt-dán,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,12,1,12,-2.272759151,0.16015215300000002,-0.36636746,-0.200027111,-0.150609372,0.075515012,0.363308608,0.018161337,0.060947605,-1.236870949,-0.096652363,0.379866046,-0.041239022,Neotropic,Carnivore,Invertivore,Invertivore sally air
Eugenes fulgens,Rivoli's Hummingbird,8.0,1642,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14,-2.294639416,-1.4251779759999998,0.701519861,-0.653545018,-0.680444467,-0.098964308,0.017804951,-0.186846426,0.022249781,-0.24973840600000002,1.346359714,0.09158587300000001,0.11370870699999999,Nearctic,Herbivore,Nectarivore,Nectarivore aerial
Selasphorus rufus,Rufous Hummingbird,3.5,360,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14,-3.9247242630000003,-1.2951110590000001,0.807413046,-0.463378026,-1.317021692,-0.257990134,-0.170947605,-0.014249069,0.036047456,-1.221765334,1.291873019,-0.066214259,0.128369641,Nearctic,Herbivore,Nectarivore,Nectarivore aerial
Trogon citreolus,Citreoline Trogon,79.0,2030,NA,NA,NA,NA,NA,NA,NA,0.677894973,-0.024917537000000003,-0.723888063,0.064291052,-0.52105059,-0.22888507,-0.032203611,0.037979001,0.002733459,0.384425058,-0.50431392,0.0028123320000000003,0.035435934,Neotropic,Omnivore,Omnivore,
Atlapetes pileatus,Rufous-capped Brushfinch,24.0,1300,NA,NA,NA,NA,NA,NA,NA,-0.921994578,0.138575668,-0.331480955,0.251693171,0.245879133,-0.206285422,-0.077879018,-0.026824282999999997,-0.033136912000000004,-0.433475447,-0.41436839299999995,-0.10439862300000001,0.037104664,Neotropic,Omnivore,Omnivore,
Diglossa baritula,Cinnamon-bellied Flowerpiercer,9.2,1041,NA,NA,NA,NA,NA,NA,NA,-2.29617116,0.17456240399999998,0.06961039299999999,-0.038024398,0.23725049899999998,0.023606255,-0.312832626,-0.003911309,-0.0032350770000000003,-1.239567569,0.057045911,-0.326253003,0.039716657,Neotropic,Herbivore,Nectarivore,Nectarivore glean
Sterna forsteri,Forster's Tern,149.0,165,NA,NA,NA,NA,NA,NA,NA,1.56101784,-0.36076989600000003,0.25740191,-0.625310307,-0.468108349,0.055856475,-0.35132038200000004,-0.322349725,0.061554113,0.851316069,0.638916339,-0.2952146,-0.036297487999999996,Nearctic,Carnivore,Aquatic predator,Aquatic plunge
Numenius phaeopus,Whimbrel,364.57,448,NA,NA,NA,NA,NA,NA,NA,2.7879687860000004,-0.658123393,1.173148017,-0.80879529,0.22566521899999997,0.11436903,0.006410592,-0.212158562,-0.10730893,1.604152926,1.435797985,0.002861941,0.028139347999999998,Palearctic,Carnivore,Omnivore,
Icterus gularis,Altamira Oriole,55.16,2400,NA,NA,NA,NA,NA,NA,NA,0.628959615,-0.37456013,-0.34546242899999996,-0.046683960999999996,0.301727444,-0.001430821,-0.048515706,-0.037865058,0.003545012,0.695391255,-0.093294981,-0.059061332,0.05263331,Neotropic,Omnivore,Omnivore,
Chaetura vauxi,Vaux's Swift,17.1,691,NA,NA,NA,NA,NA,NA,NA,-2.483377887,1.502671427,0.029713898,0.144430148,-0.889599261,0.249200893,-0.064804418,-0.34457679700000005,-0.102489607,-2.5313606280000003,-0.520035008,0.027734105,0.007833485,Nearctic,Carnivore,Invertivore,Invertivore aerial
Eudocimus albus,White Ibis,889.66,1254,NA,NA,NA,NA,NA,NA,NA,4.356539946,-1.181027965,1.032191732,-0.41626432799999996,0.523739418,0.211729422,0.018610182,-0.049204485,-0.065579367,2.9278919510000003,1.214542392,-0.0041136440000000005,0.056667221,Neotropic,Carnivore,Aquatic predator,Aquatic ground
Turdus rufopalliatus,Rufous-backed Robin,75.02,4272,NA,NA,NA,NA,NA,NA,NA,0.546751654,0.256027379,-0.09061615599999999,-0.22779152,0.105995456,-0.100470325,-0.065661512,-0.002159161,-0.038624437000000005,0.033203636,0.017247463,-0.081775937,-0.010970975,Neotropic,Omnivore,Invertivore,Invertivore ground
Caracara cheriway,Crested Caracara,1078.62,4387,NA,NA,NA,NA,NA,NA,NA,4.37732013,0.224282989,-0.18647521600000003,-0.070577316,0.305433317,0.104643294,-0.107939256,-0.237342935,-0.027519084,2.000835681,-0.24314865600000002,-0.119574544,-0.050940251,Neotropic,Omnivore,Omnivore,
Coereba flaveola,Bananaquit,10.01,386,NA,NA,NA,NA,NA,NA,NA,-2.09946463,-0.184082732,0.06062953,0.19796491600000002,0.132912751,0.13535181300000002,-0.035074537999999995,0.036740719,-0.10414680800000001,-0.8293041059999999,-0.0019301160000000002,-0.021782531,0.17717644600000002,Neotropic,Herbivore,Nectarivore,Nectarivore glean
Myiarchus sp.,Myiarchus sp.,0.0,557,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Leiothlypis virginiae,Virginia's Warbler,0.0,1695,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Empidonax hammondii,Hammond's Flycatcher,10.44,680,NA,NA,NA,NA,NA,NA,NA,-2.072290773,0.145409479,-0.20033314,-0.057650167999999995,-0.035684004,0.085002126,0.264308744,0.010058381,0.011358156999999999,-1.111088512,-0.090523571,0.274508138,0.00463127,Nearctic,Carnivore,Invertivore,Generalist
Setophaga petechia,Yellow Warbler,0.0,2629,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Rupornis magnirostris,Roadside Hawk,0.0,1828,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Tityra semifasciata,Masked Tityra,79.3,1068,NA,NA,NA,NA,NA,NA,NA,0.8743282659999999,-0.43540371200000005,-0.208960166,0.40128430299999995,0.036185701,0.08443377099999999,0.185863639,0.003762111,0.003601595,0.8939803609999999,-0.300042323,0.196326802,0.054567628,Neotropic,Herbivore,Frugivore,Fugivore glean
Megarynchus pitangua,Boat-billed Flycatcher,69.91,1561,NA,NA,NA,NA,NA,NA,NA,0.8983542459999999,-0.896336042,-0.338559641,0.280631329,-0.152757408,0.006034355,0.37527286200000004,0.081401215,0.010357681,1.248205162,-0.15083562,0.39993764299999995,0.089356239,Neotropic,Carnivore,Invertivore,Invertivore sally surface
Geothlypis trichas,Common Yellowthroat,9.54,730,NA,NA,NA,NA,NA,NA,NA,-2.193525548,0.123927325,-0.028647093999999998,-0.086198933,0.284285102,-0.114216438,0.004706562,-0.04236928400000001,-0.094612628,-1.144984432,0.042554043,-0.014833219,0.088725934,Nearctic,Carnivore,Invertivore,Generalist
Cyanerpes cyaneus,Red-legged Honeycreeper,14.0,1165,NA,NA,NA,NA,NA,NA,NA,-1.724772304,-0.433511914,0.38088396399999996,0.050252820999999996,-0.055974272,0.115971454,0.075606626,0.06515254,-0.003831638,-0.533237955,0.374261231,0.090219619,0.067601034,Neotropic,Omnivore,Omnivore,
Crotophaga sulcirostris,Groove-billed Ani,82.04,3217,NA,NA,NA,NA,NA,NA,NA,1.323028805,-0.404852396,-0.921786351,0.164757332,0.25114131,-0.271581235,-0.048756848,-0.121987505,0.036583329,1.1769959620000001,-0.6215800579999999,-0.06604621299999999,0.027333508,Neotropic,Carnivore,Invertivore,Invertivore ground
Chondestes grammacus,Lark Sparrow,29.0,1740,NA,NA,NA,NA,NA,NA,NA,-0.681104905,0.028427215,-0.276316069,0.273495809,0.018379415,-0.036534446,-0.161479855,-0.066131064,-0.009213351,-0.25713957600000004,-0.37263494799999997,-0.155008154,0.053781786,Nearctic,Herbivore,Granivore,Granivore ground
Ortalis vetula,Plain Chachalaca,562.6,389,NA,NA,NA,NA,NA,NA,NA,2.781481525,1.13092147,-0.10629723699999999,-0.34250704600000004,0.035618046,-0.401599308,0.005894061,0.090181741,0.00031450099999999996,0.365984935,-0.198977426,-0.056468863,-0.23371604,Neotropic,Herbivore,Frugivore,Fugivore glean
Herpetotheres cachinnans,Laughing Falcon,623.58,420,NA,NA,NA,NA,NA,NA,NA,3.4951347989999997,0.469271664,-0.581896299,0.058814068,0.076270692,-0.076347271,-0.12362719400000001,0.02767642,0.021770161,1.410252466,-0.610991744,-0.142672978,-0.087296309,Neotropic,Carnivore,Vertivore,Vertivore perch
Melozone fusca,Canyon Towhee,0.0,25,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Morococcyx erythropygus,Lesser Ground-Cuckoo,64.53,1029,NA,NA,NA,NA,NA,NA,NA,0.5425671320000001,0.039255324,-0.20757193699999998,-0.28837572100000003,0.312982231,-0.29946690000000004,0.006976803,0.018074831,-0.02048906,0.243298685,0.052351503,-0.038438736,-0.031782629,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Icterus galbula,Baltimore Oriole,32.83,1242,NA,NA,NA,NA,NA,NA,NA,-0.360901501,-0.16930788300000002,-0.110239991,-0.052315484,0.14444364099999998,-0.030874087999999997,-0.05485983,-0.063321015,0.005553733000000001,-0.006739733,0.014723947,-0.060019012999999996,0.023580871,Nearctic,Omnivore,Invertivore,Invertivore glean arboreal
Pitangus sulphuratus,Great Kiskadee,62.85,10326,NA,NA,NA,NA,NA,NA,NA,0.664967969,-0.566430765,-0.27174135899999996,0.21585732800000001,0.035204291,0.014815483999999999,0.348471459,0.064861801,-0.013327098,0.867410412,-0.158136464,0.35479071100000004,0.067433644,Neotropic,Carnivore,Omnivore,
Chlorospingus flavopectus,Common Chlorospingus,0.0,1392,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Calidris minutilla,Least Sandpiper,22.88,1308,NA,NA,NA,NA,NA,NA,NA,-1.249403405,-0.124347939,0.720800903,-0.305157445,-0.055389645,0.24313137699999998,-0.15599249699999998,0.03739961,-0.127531316,-0.684570888,0.738077257,-0.129357692,0.144467894,Nearctic,Carnivore,Aquatic predator,Aquatic ground
Recurvirostra americana,American Avocet,304.48,313,NA,NA,NA,NA,NA,NA,NA,2.675468949,-0.641362842,1.3895102830000001,-0.892308505,0.659820011,0.25436535600000004,0.317401905,-0.260721446,-0.176042377,1.547461222,1.626256177,0.290109632,0.050741819,Nearctic,Carnivore,Aquatic predator,Aquatic ground
Saltator atriceps,Black-headed Saltator,83.79,1149,NA,NA,NA,NA,NA,NA,NA,1.00835187,-0.296750439,-0.447068795,0.243554293,0.12611129699999998,-0.16784254,-0.006517728,0.013143898000000001,0.053398408,0.863543779,-0.38527021200000006,-0.023704912,-0.014476356999999999,Neotropic,Herbivore,Omnivore,
Cyanolyca nanus,Dwarf Jay,0.0,707,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Anthus rubescens,American Pipit,20.68,454,NA,NA,NA,NA,NA,NA,NA,-1.268334394,0.350153979,0.060422125,-0.390537398,0.070386327,0.020792758,0.021826277999999998,-0.023814737000000002,-0.12211970300000001,-0.9883264829999999,0.23225648399999999,0.024464665,0.079119408,Palearctic,Carnivore,Invertivore,Invertivore ground
Tachybaptus dominicus,Least Grebe,132.59,2240,NA,NA,NA,NA,NA,NA,NA,0.448091853,0.36569868899999997,1.194996749,0.713568572,-0.038397972,0.339350101,-0.166196046,0.18059609899999998,0.0060863819999999996,-0.12070593199999999,0.162788041,-0.174203317,-0.062771043,Neotropic,Carnivore,Aquatic predator,Aquatic dive
Peucedramus taeniatus,Olive Warbler,11.0,1372,NA,NA,NA,NA,NA,NA,NA,-1.995197137,0.176074658,0.06327619,-0.26611399999999996,0.16094517,0.104487958,0.052821447,-0.051825765999999995,-0.009194729,-1.147124284,0.204175647,0.050414019000000004,0.009533522,Nearctic,Carnivore,Invertivore,Generalist
Saltator coerulescens,Grayish Saltator,54.9,676,NA,NA,NA,NA,NA,NA,NA,0.48803334600000003,-0.28732627,-0.5450732979999999,0.282805203,0.165169552,-0.157878491,0.048199524,-0.033219506,0.014492152,0.628780697,-0.472735178,0.035892864,0.032704888,Neotropic,Herbivore,Omnivore,
Amazona albifrons,White-fronted Parrot,206.0,1519,NA,NA,NA,NA,NA,NA,NA,2.17122732,-0.7349701,-0.513045097,0.792352948,-0.429371571,0.131597329,-0.13730087400000002,0.096150137,0.033731612,1.8183632159999998,-0.694079543,-0.08060392799999999,0.127471492,Neotropic,Herbivore,Omnivore,
Tringa flavipes,Lesser Yellowlegs,77.5,459,NA,NA,NA,NA,NA,NA,NA,0.648893105,-0.19893617100000002,1.036058977,-0.847767728,0.41392838299999996,0.168602504,-0.151836448,-0.28308603,-0.13567452,0.22920978399999997,1.2688706509999998,-0.160938046,0.058787864,Nearctic,Carnivore,Aquatic predator,Aquatic ground
Cochlearius cochlearius,Boat-billed Heron,643.21,415,NA,NA,NA,NA,NA,NA,NA,4.333814633,-1.213965583,-0.130920308,0.550799872,0.537209555,0.335938777,0.6029567779999999,-0.18429897,0.061846726,3.315819287,-0.21006033600000001,0.597295101,0.007137126999999999,Neotropic,Carnivore,Aquatic predator,Aquatic ground
Cassiculus melanicterus,Yellow-winged Cacique,0.0,2462,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Fulica americana,American Coot,636.74,1992,NA,NA,NA,NA,NA,NA,NA,2.466332805,0.7616827190000001,1.1409535179999999,0.381292962,-0.10015948699999999,0.092301118,-0.295400713,0.015522272,0.29751487600000004,0.5041794629999999,0.180055153,-0.34294500299999997,-0.455671586,Nearctic,Herbivore,Herbivore aquatic,Generalist
Piranga ludoviciana,Western Tanager,28.1,6139,NA,NA,NA,NA,NA,NA,NA,-0.5119639220000001,-0.177194264,-0.354721706,0.18071950399999998,0.059982804,0.046757487,-0.013810562,-0.077845234,0.051171287,-0.000597786,-0.302290123,-0.005312391,0.015282077,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Ammodramus savannarum,Grasshopper Sparrow,17.61,325,NA,NA,NA,NA,NA,NA,NA,-1.451373256,-0.026488138999999997,-0.021392756000000002,0.550131725,0.20601856899999998,-0.052435048,-0.121530865,-0.074114731,0.019794164,-0.535717208,-0.376190244,-0.136733943,0.02200258,Nearctic,Omnivore,Invertivore,Invertivore ground
Actitis macularius,Spotted Sandpiper,40.4,2628,NA,NA,NA,NA,NA,NA,NA,-0.6007936079999999,0.020529639,0.882474427,-0.459729651,-0.036179051000000004,0.075195967,-0.089235577,-0.108636755,-0.063296119,-0.524732871,0.876870267,-0.083408883,0.003882032,Nearctic,Carnivore,Aquatic predator,Aquatic ground
Pachyramphus aglaiae,Rose-throated Becard,29.69,1748,NA,NA,NA,NA,NA,NA,NA,-0.564925562,-0.138966272,-0.30551492199999997,0.263953525,-0.024590815,0.052306911,0.133470266,0.033874771,-0.052522954000000004,-0.076612232,-0.32196496399999996,0.149611251,0.10350582300000001,Neotropic,Omnivore,Omnivore,
Egretta caerulea,Little Blue Heron,338.61,1604,NA,NA,NA,NA,NA,NA,NA,3.1831909589999996,-0.7028761379999999,0.705997248,-0.402009267,0.752636578,0.487370042,-0.01999411,-0.191070165,-0.04353535,2.056779218,0.8568529890000001,-0.035621064,0.049144184,Neotropic,Carnivore,Aquatic predator,Aquatic ground
Spizella pallida,Clay-colored Sparrow,11.2,608,NA,NA,NA,NA,NA,NA,NA,-1.9853500219999998,0.285419721,-0.39482858299999996,0.217903076,0.14353676199999998,-0.073442037,-0.207625339,-0.045159004,-0.025925021,-1.079923314,-0.459208723,-0.213231582,0.064623427,Nearctic,Omnivore,Granivore,Granivore arboreal
Tiaris olivaceus,Yellow-faced Grassquit,8.5,484,NA,NA,NA,NA,NA,NA,NA,-2.310651839,-0.001889334,-0.256097247,0.484125552,0.204411094,-0.016238726999999998,-0.136419533,-0.06941385900000001,0.016358901000000002,-0.9538392590000001,-0.47084919700000005,-0.142824121,0.058508823,Neotropic,Herbivore,Granivore,Granivore arboreal
Pyrocephalus rubinus,Vermilion Flycatcher,14.4,8761,NA,NA,NA,NA,NA,NA,NA,-1.4971809390000002,-0.11010453099999999,-0.216593984,0.020697121000000002,0.029369651,0.115779306,0.22469493100000001,0.019792145,-0.036767565,-0.60146864,-0.088511906,0.239856745,0.083268976,Neotropic,Carnivore,Invertivore,Invertivore sally air
Sula leucogaster,Brown Booby,1288.82,517,NA,NA,NA,NA,NA,NA,NA,4.750608214,-1.198144702,0.046951147,-0.108431664,-0.546901723,-0.066941403,-0.070726023,-0.129411448,-0.0018732010000000001,3.186383022,0.36083860799999995,-0.01216241,0.07254184799999999,Australian,Carnivore,Aquatic predator,Aquatic plunge
Turdus assimilis,White-throated Thrush,70.2,1176,NA,NA,NA,NA,NA,NA,NA,0.471586279,0.197815883,-0.06673204099999999,-0.25115746699999997,0.071401665,-0.082965316,-0.049035979,0.0155096,0.002594098,0.035318479,0.068367781,-0.064572632,-0.043279488,Neotropic,Omnivore,Invertivore,Invertivore ground
Megaceryle alcyon,Belted Kingfisher,148.0,860,NA,NA,NA,NA,NA,NA,NA,1.734512839,-1.324761942,0.125390381,-0.033993235,-0.7273077990000001,0.081604519,-0.116024112,0.323120447,0.13339136,1.7983037030000002,0.499085364,-0.055822247,0.043791984000000006,Nearctic,Carnivore,Aquatic predator,Aquatic perch
Leucophaeus atricilla,Laughing Gull,0.0,1493,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Thalasseus maximus,Royal Tern,0.0,1104,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Regulus calendula,Ruby-crowned Kinglet,6.19,1890,NA,NA,NA,NA,NA,NA,NA,-2.759548009,0.303286373,0.019991448000000002,-0.18527240899999997,0.29613285300000003,0.18212162199999998,0.14522481199999998,-0.067700028,-0.06400550099999999,-1.585641818,0.095800975,0.141893601,0.062255614,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Phaethornis longirostris,Long-billed Hermit,6.0,166,NA,NA,NA,NA,NA,NA,NA,-2.298513105,-2.0221187030000003,0.372967869,-0.9598114409999999,-0.797479245,-0.354864432,-0.107064668,-0.12965647800000002,0.046490812,0.20586591399999998,1.535106632,-0.029182914,0.164001591,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Icterus cucullatus,Hooded Oriole,24.3,842,NA,NA,NA,NA,NA,NA,NA,-0.7037198659999999,-0.22335166899999997,-0.15792629800000002,-0.344657018,0.135447626,-0.152864751,-0.041276961,0.015280291000000001,-0.034043736,-0.188923703,0.22273864300000001,-0.052444798,0.055804679,Nearctic,Omnivore,Omnivore,
Vireo nelsoni,Dwarf Vireo,9.4,582,NA,NA,NA,NA,NA,NA,NA,-2.2437135280000002,0.255308924,-0.008617251,-0.047736677000000005,0.280127505,0.021774804,0.093557678,0.003991451,0.036062549,-1.261277652,-0.007993581999999999,0.068071899,-0.044144120999999995,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Vireo brevipennis,Slaty Vireo,11.8,949,NA,NA,NA,NA,NA,NA,NA,-1.956805556,0.26033078,-0.118559811,0.009660003,0.250342154,-0.127232136,0.030534725,-0.025254928,0.003181551,-1.106619596,-0.127061313,0.0018596139999999999,-0.020199459,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Empidonax minimus,Least Flycatcher,10.0,1838,NA,NA,NA,NA,NA,NA,NA,-2.087661374,0.095612605,-0.24466771199999998,0.018258861,0.007708901999999999,0.048042765,0.35628232600000004,-0.056223602000000004,0.026451195,-1.045425482,-0.164559182,0.362361815,-0.015172969,Nearctic,Carnivore,Invertivore,Invertivore sally air
Thryophilus pleurostictus,Banded Wren,0.0,1725,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Chordeiles acutipennis,Lesser Nighthawk,48.42,570,NA,NA,NA,NA,NA,NA,NA,-0.871199095,1.401872106,-0.26087758699999997,-0.29960384100000004,-0.980191743,0.17095445,0.20817095100000002,0.036634787,-0.047900698,-1.7416165559999999,-0.346232724,0.28199076,-0.070829118,Neotropic,Carnivore,Invertivore,Invertivore aerial
Icterus mesomelas,Yellow-tailed Oriole,39.9,107,NA,NA,NA,NA,NA,NA,NA,0.1436579,-0.321190143,-0.28652444,-0.19835587,0.34455326299999994,-0.160939923,-0.071888589,-0.016738413,0.039245002,0.387154185,0.0453925,-0.102854512,-0.007923196,Neotropic,Omnivore,Invertivore,Invertivore glean arboreal
Eupsittula nana,Olive-throated Parakeet,0.0,703,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Chondrohierax uncinatus,Hook-billed Kite,286.07,219,NA,NA,NA,NA,NA,NA,NA,2.837317873,-0.17591777,-0.707576768,-0.224698025,-0.170553858,0.240128012,-0.117817119,0.183191805,-0.044397322,1.533389251,-0.270039441,-0.077410138,0.118948192,Neotropic,Carnivore,Invertivore,Invertivore sally surface
Glaucidium brasilianum,Ferruginous Pygmy-Owl,75.1,1900,NA,NA,NA,NA,NA,NA,NA,0.256693458,0.157277043,-0.280736158,0.7311094640000001,-0.299784509,-0.061746,-0.162707769,0.138696719,-0.069190053,0.11943825699999999,-0.724213938,-0.141646358,0.106716409,Neotropic,Carnivore,Invertivore,Invertivore sally ground
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,0.0,1840,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Campylorhynchus rufinucha,Rufous-naped Wren,31.0,2601,NA,NA,NA,NA,NA,NA,NA,-0.576092696,-0.214526131,0.18534020399999998,-0.204147453,0.191918748,-0.205886437,-0.054126243,0.084016533,0.030893262999999997,-0.142565164,0.344096557,-0.089355046,-0.037504493,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Passerina cyanea,Indigo Bunting,14.69,1547,NA,NA,NA,NA,NA,NA,NA,-1.541751404,-0.011071963,-0.368107236,0.48741368799999996,0.123061233,0.0063956640000000006,-0.038355327,-0.082309594,-0.041480707,-0.574648129,-0.5544614520000001,-0.031354337,0.10726375699999999,Nearctic,Herbivore,Granivore,Granivore ground
Vireolanius melitophrys,Chestnut-sided Shrike-Vireo,34.7,813,NA,NA,NA,NA,NA,NA,NA,-0.415414004,-0.002993717,-0.136959547,0.136075925,0.17230152,-0.125467889,-0.11791463699999999,-0.0017044470000000002,0.077081946,-0.12111310800000001,-0.177519008,-0.14371788900000002,-0.062637073,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Melanerpes chrysogenys,Golden-cheeked Woodpecker,67.72,2070,NA,NA,NA,NA,NA,NA,NA,0.46830701700000005,-0.280706666,0.024232827000000002,-0.079718512,-0.187599194,0.079224778,0.104335699,0.16617159,-0.06072359,0.397014217,0.168419262,0.126255725,0.091986573,Neotropic,Carnivore,Invertivore,Invertivore bark
Passerina leclancherii,Orange-breasted Bunting,14.0,2207,NA,NA,NA,NA,NA,NA,NA,-1.452101719,-0.08781847400000001,-0.5528852329999999,0.4338344,0.14911861699999998,0.047719425999999995,-0.081817614,-0.018684295,-0.056445128,-0.45465188,-0.605970566,-0.07011885799999999,0.15327259099999999,Neotropic,Herbivore,Granivore,Granivore ground
Tringa melanoleuca,Greater Yellowlegs,161.74,634,NA,NA,NA,NA,NA,NA,NA,1.8058627669999998,-0.467643281,0.98701247,-0.773896059,0.446236743,0.21408698199999998,-0.045627311,-0.245109844,-0.115312242,1.03647867,1.249054322,-0.054929387,0.054703199999999993,Nearctic,Carnivore,Aquatic predator,Aquatic ground
Icterus spurius,Orchard Oriole,19.44,2405,NA,NA,NA,NA,NA,NA,NA,-1.1152397509999998,-0.08934282199999999,-0.136269807,-0.089857529,0.137002795,-0.087472248,-0.067250307,-0.063245577,-0.038694482999999995,-0.4474599,0.015849852,-0.071837497,0.064339152,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Passerina ciris,Painted Bunting,15.54,932,NA,NA,NA,NA,NA,NA,NA,-1.440982961,0.068957981,-0.418725267,0.41871567299999995,0.172238024,0.010805521,-0.110745575,-0.08140194,-0.069448128,-0.594213208,-0.563690598,-0.104904808,0.131447587,Nearctic,Herbivore,Granivore,Granivore ground
Butorides virescens,Green Heron,201.5,1672,NA,NA,NA,NA,NA,NA,NA,2.307369754,-0.907971695,0.704679877,-0.111728008,0.442175469,0.346154914,0.025269084,-0.044630317,-0.000757222,1.810657977,0.746544579,0.018108588000000002,0.045503678,Nearctic,Carnivore,Aquatic predator,Aquatic ground
Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,66.9,57,NA,NA,NA,NA,NA,NA,NA,0.994977863,-0.7621276159999999,-0.196766246,-0.323230209,0.17776762699999998,-0.038599714,0.21181328100000002,0.020190908,-0.012462039,1.0944664990000001,0.313166032,0.20864933,0.06546571,Neotropic,Carnivore,Invertivore,Generalist
Myiarchus tyrannulus,Brown-crested Flycatcher,35.45,1371,NA,NA,NA,NA,NA,NA,NA,-0.136015195,-0.428821455,-0.33670458700000006,0.113107852,0.031893451,-0.049070353,0.425358325,0.049591443,0.012940656000000002,0.358248083,-0.155537245,0.42494887600000003,0.024063757999999998,Neotropic,Carnivore,Invertivore,Invertivore sally surface
Calocitta formosa,White-throated Magpie-Jay,210.0,3702,NA,NA,NA,NA,NA,NA,NA,2.577424285,-0.197122534,-0.8455258959999999,-0.6169770520000001,0.189697814,-0.406921804,0.037489767,-0.040297045,-0.041683444,1.429185383,-0.095135081,0.010457467,0.008956483000000001,Neotropic,Omnivore,Omnivore,
Columbina talpacoti,Ruddy Ground Dove,46.04,1205,NA,NA,NA,NA,NA,NA,NA,-0.8026119270000001,0.613331753,0.318123717,-0.22296880600000002,-0.54857174,-0.076732097,-0.221012121,0.321284509,-0.024621398,-1.077223946,0.230746098,-0.207556622,-0.031769684,Neotropic,Herbivore,Granivore,Granivore ground
Campylorhynchus megalopterus,Gray-barred Wren,33.1,1445,NA,NA,NA,NA,NA,NA,NA,-0.359503199,-0.129735816,0.052567003,-0.453574231,0.204446171,-0.095931121,-0.057371837,0.062203733,-0.013278546,-0.13957135,0.403724755,-0.079395792,0.007977022,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Passerina caerulea,Blue Grosbeak,27.39,3474,NA,NA,NA,NA,NA,NA,NA,-0.592289281,-0.223061817,-0.456714038,0.50549787,0.071135885,-0.02723189,-0.030315917,-0.035947416,-0.021543438999999998,0.067312275,-0.572591562,-0.021899015,0.103463495,Nearctic,Carnivore,Invertivore,Generalist
Tyrannus melancholicus,Tropical Kingbird,37.4,6598,NA,NA,NA,NA,NA,NA,NA,0.025512994,-0.629202767,-0.460267007,0.176915225,-0.148362582,0.055447329000000004,0.45772691600000004,0.04893014,-0.029184535,0.600669363,-0.221251714,0.488868016,0.11285416599999999,Neotropic,Carnivore,Invertivore,Invertivore sally air
Phalacrocorax brasilianus,Neotropic Cormorant,1239.29,2731,NA,NA,NA,NA,NA,NA,NA,4.146987546,-0.119585088,0.283376197,-0.293715309,-0.27805974699999997,-0.184854766,0.019870439,0.145352843,-0.119948426,1.950942364,0.370176666,0.020975397000000003,0.021355017,Neotropic,Carnivore,Aquatic predator,Aquatic dive
Buteogallus anthracinus,Common Black Hawk,975.09,649,NA,NA,NA,NA,NA,NA,NA,4.048389786,0.46506378200000004,-0.24963958600000002,-0.11230889999999999,0.120538202,0.076173187,0.016423485,-0.049559502000000005,-0.077440919,1.603066839,-0.294049732,0.009270669,-0.027278828999999997,Neotropic,Carnivore,Aquatic predator,Aquatic perch
